year,cpi_us
1960,13.563061
1961,13.708284
1962,13.872615
1963,14.044590
1964,14.224207
1965,14.449685
1966,14.885354
1967,15.298093
1968,15.951596
1969,16.822934
1970,17.805100
1971,18.569431
1972,19.177075
1973,20.361789
1974,22.612745
1975,24.680261
1976,26.098096
1977,27.794912
1978,29.915931
1979,33.282811
1980,37.792366
1981,41.698100
1982,44.254788
1983,45.676445
1984,47.640776
1985,49.329949
1986,50.266255
1987,52.108294
1988,54.233135
1989,56.850970
1990,59.919760
1991,62.457341
1992,64.349061
1993,66.248425
1994,67.975813
1995,69.882820
1996,71.931229
1997,73.612758
1998,74.755433
1999,76.391102
2000,78.970721
2001,81.202568
2002,82.490467
2003,84.363079
2004,86.621678
2005,89.560532
2006,92.449705
2007,95.086992
2008,98.737477
2009,98.386420
2010,100.000000
2011,103.156842
2012,105.291505
2013,106.833849
2014,108.566932
2015,108.695722
2016,110.067009
2017,112.411557
2018,115.157303
2019,117.244195
2020,118.690502
2021,124.266414
2022,134.211206
2023,139.735794
2024,143.857336
