Secretaría Ejecutiva del Consejo Monetario Centroamericano
Producción
Producto Interno Bruto trimestral
Unidad de medida: Millones de moneda nacional (o índice) encadenados y variaciones en porcentajes
Fechas,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,República Dominicana,Panamá
,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario
,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual,PIB trimestral en constantes,PIB trimestral en constantes - variación interanual
31-03-1990,--,--,48.97,--,--,--,--,--,--,--,--,--,--,--
30-06-1990,--,--,56.32,--,--,--,--,--,--,--,--,--,--,--
30-09-1990,--,--,56.41,--,--,--,--,--,--,--,--,--,--,--
31-12-1990,--,--,59.88,--,--,--,--,--,--,--,--,--,--,--
31-03-1991,"3,168,958.57",--,50.54,3.20,--,--,--,--,--,--,24.91,--,--,--
30-06-1991,"3,001,451.66",--,58.01,3.01,--,--,--,--,--,--,23.82,--,--,--
30-09-1991,"3,031,976.64",--,56.98,1.00,--,--,--,--,--,--,22.12,--,--,--
31-12-1991,"3,329,414.20",--,59.37,-0.86,--,--,--,--,--,--,24.13,--,--,--
31-03-1992,"3,438,595.18",8.51,53.82,6.49,--,--,--,--,--,--,26.71,7.22,--,--
30-06-1992,"3,234,308.23",7.76,59.47,2.51,--,--,--,--,--,--,27.15,14.00,--,--
30-09-1992,"3,436,258.75",13.33,61.02,7.08,--,--,--,--,--,--,24.73,11.83,--,--
31-12-1992,"3,575,702.92",7.40,66.38,11.80,--,--,--,--,--,--,27.05,12.12,--,--
31-03-1993,"3,732,563.48",8.55,58.28,8.28,--,--,--,--,--,--,28.35,6.13,--,--
30-06-1993,"3,476,168.29",7.48,64.10,7.79,--,--,--,--,--,--,29.42,8.34,--,--
30-09-1993,"3,608,325.31",5.01,64.13,5.10,--,--,--,--,--,--,27.32,10.47,--,--
31-12-1993,"3,839,049.05",7.36,68.18,2.71,--,--,--,--,--,--,28.34,4.77,--,--
31-03-1994,"3,861,267.64",3.45,59.02,1.27,--,--,--,--,--,--,29.67,4.67,--,--
30-06-1994,"3,718,309.23",6.97,66.44,3.64,--,--,--,--,--,--,29.64,0.74,--,--
30-09-1994,"3,772,685.22",4.56,68.02,6.06,--,--,--,--,--,--,27.63,1.14,--,--
31-12-1994,"3,966,157.64",3.31,73.16,7.30,--,--,--,--,--,--,29.43,3.84,--,--
31-03-1995,"4,154,059.37",7.58,63.70,7.93,--,--,--,--,--,--,30.40,2.43,--,--
30-06-1995,"3,824,856.03",2.87,71.95,8.29,--,--,--,--,--,--,31.08,4.86,--,--
