Secretaría Ejecutiva del Consejo Monetario Centroamericano
Remesas familiares
Ingreso de remesas familiares y su relación con el PIB
"Unidad de medida: Millones de US dólares. Relación respecto al PIB, en porcentajes."
Fechas,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,República Dominicana,Panamá
,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario,Datos no ajustados estacionalmente ni ajustados por calendario
,"Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB","Remesas, ingreso anual / PIB"
31-12-1998,--,--,--,--,--,6.25,--
31-12-1999,0.83,12.17,--,--,--,6.90,--
31-12-2000,0.80,14.86,--,4.95,--,7.01,--
31-12-2001,1.15,15.55,3.00,6.30,--,7.16,--
31-12-2002,1.41,15.28,7.21,8.23,--,7.60,--
31-12-2003,1.77,15.90,9.13,9.75,--,9.88,--
31-12-2004,1.62,18.56,10.21,12.10,--,9.62,--
31-12-2005,1.99,20.53,10.62,17.62,--,6.77,--
31-12-2006,2.16,21.69,11.53,20.63,10.31,7.19,--
31-12-2007,2.22,21.72,11.78,20.31,9.96,6.91,--
31-12-2008,1.90,20.80,10.72,19.49,9.63,6.69,--
31-12-2009,1.59,19.24,10.30,16.47,9.26,6.30,1.21
31-12-2010,1.34,18.73,9.94,15.95,9.40,6.84,1.36
31-12-2011,1.14,17.88,9.23,15.52,9.33,6.91,1.06
31-12-2012,1.12,18.17,9.58,15.34,9.63,6.67,0.94
31-12-2013,1.10,17.94,9.63,16.72,9.81,6.81,0.93
31-12-2014,1.07,18.32,9.58,17.40,9.56,6.81,1.31
31-12-2015,0.92,18.16,10.11,17.77,9.36,6.98,0.87
31-12-2016,0.87,18.78,10.84,18.18,9.52,6.96,0.74
31-12-2017,0.88,19.96,11.43,19.18,10.09,7.47,0.71
31-12-2018,0.80,20.73,12.67,20.29,11.53,7.64,0.70
31-12-2019,0.80,21.04,13.62,22.19,13.25,7.95,0.74
31-12-2020,0.79,23.79,14.59,24.58,14.55,10.47,0.74
31-12-2021,0.85,26.12,17.69,26.19,15.11,10.93,0.80
31-12-2022,0.81,24.54,18.87,27.64,20.63,8.69,--
31-12-2023,0.67,24.65,18.99,26.71,26.17,8.50,--
31-12-2024,0.67,24.31,19.00,26.35,26.62,8.66,--
31-12-2025,0.75,27.21,20.70,30.83,--,9.61,--
