model,pcentral_caribbean,platin_america,psouth_america,pworld
naive,1,.8695652173913043,.0909090909090909,.2708333333333333
naive_yrs,.5833333333333334,.3478260869565217,.4545454545454545,.4791666666666667
factors,.75,.6956521739130435,.6363636363636364,.2152777777777778
factors_gdp,.5,.5217391304347826,.1818181818181818,.2569444444444444
factors_yrs,1,.9565217391304348,.3636363636363636,.1736111111111111
naive_log,1,.9565217391304348,.2727272727272727,.0972222222222222
naive_yrs_log,1,.2173913043478261,.4545454545454545,.1944444444444444
factors_log,.3333333333333333,.4347826086956522,.4545454545454545,.0902777777777778
factors_gdp_log,.5,.9130434782608695,.2727272727272727,.7083333333333334
factors_yrs_log,.9166666666666666,1,.2727272727272727,.2361111111111111
naive_diff,.8333333333333334,.9130434782608695,.4545454545454545,.6944444444444444
factors_diff,.75,.7826086956521739,.4545454545454545,.4652777777777778
factors_gdp_diff,.6666666666666666,.7391304347826086,.5454545454545454,.3680555555555556
