unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
BLZ,.023,.176,.059999999,,.050999999,.035,,.1,,.19400001,.0099999998,,
BRB,.0040000002,,,,,.0089999996,,,,,.0070000002,,
CRI,.02,,,,,.030999999,,,,,.0089999996,,
DOM,.030999999,,,,,.054000001,,,,,.0099999998,,
GTM,.039000001,,,,.117,.07,,,,,.015,,
HTI,.75,.824,,,.30000001,.56999999,.14300001,,.028000001,.46900001,.035999998,.077,.109
JAM,.027000001,,,,,.041999999,,,,,.016000001,.56599998,.366
NIC,.029999999,,.449,.077,.53100002,.048,.85699999,,,.33700001,.875,.35699999,.52499998
PAN,.025,,,,,.041999999,,,,,.0070000002,,
SLV,.046999998,,.491,.92299998,,.088,,.89999998,.972,,.014,,
TTO,.0040000002,,,,,.0099999998,,,,,.001,,
