unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
ARG,.0099999998,,,,,.02,,.0020000001,,,.003,,
BLZ,.0099999998,.016000001,,,.105,.017000001,.092,.0020000001,.152,,.0040000002,,
BOL,.048,.91900003,,,,.048,.82700002,.0040000002,,.082999997,.0099999998,,.081
BRA,.012,,,,,.024,,.0080000004,,,.0040000002,,
BRB,.0020000001,.0089999996,,,,.0049999999,,.0020000001,,,.003,,
CHL,.0089999996,,,,,.014,,.003,,,.003,,
COL,.011,,,,,.017999999,,.0070000002,,,.0049999999,,
CRI,.0089999996,,,,,.015,,.0049999999,,,.0040000002,,
DOM,.013,,,,,.025,,.0020000001,.093000002,,.0040000002,,
ECU,.0099999998,,,,,.016000001,,.0049999999,,,.0060000001,,
GTM,.016000001,,,,,.032000002,,.021,,,.0060000001,,
HTI,.74400002,,.103,.064999998,.45899999,.57300001,,.088,.458,.13600001,.016000001,.090000004,.108
JAM,.012,,,,,.02,,.003,,,.0060000001,.56199998,.219
MEX,.0049999999,,,,,.0089999996,,.0049999999,,,.0040000002,,
NIC,.013,.056000002,.47299999,,.435,.022,.081,.55800003,,.78100002,.89300001,.347,.59200001
PAN,.011,,,,,.02,,.0040000002,,,.003,,
PER,.015,,,,,.028000001,,.0049999999,,,.0049999999,,
PRY,.014,,,,,.028000001,,.0060000001,,,.0049999999,,
SLV,.017999999,,,.935,,.039000001,,.015,.29699999,,.0060000001,,
TTO,.0020000001,,,,,.0049999999,,.003,,,.001,,
URY,.0070000002,,,,,.011,,.003,,,.0049999999,,
VEN,.0070000002,,.42300001,,,.011,,.248,,,.003,,
