unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
ARG,.014,,,,,.029999999,,,,,,,
BOL,.85500002,.93199998,,.70300001,.278,.75099999,.87800002,,.64600003,.63200003,1,,.30500001
BRA,.021,,.296,.29699999,,.039999999,,.377,.23800001,,,,
CHL,.0080000004,,,,,.014,,,,,,,
COL,.016000001,.068000004,,,,.024,.122,,,,,.88200003,
ECU,.012,,,,,.017000001,,,,,,,.69499999
PER,.035999998,,,,,.056000002,,,.116,,,,
PRY,.033,,,,.722,.056000002,,,,.368,,,
URY,.003,,,,,.0060000001,,,,,,,
VEN,.003,,.704,,,.0060000001,,.62300003,,,,.118,
