unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
AGO,.003,.0020000001,.003,.0020000001,,.0060000001,.003,.0080000004,.0040000002,,.0070000002,.0060000001,.0060000001
ALB,.003,.0020000001,.003,.0040000002,,.0049999999,.0040000002,.003,.0049999999,,.0070000002,.003,.0020000001
ARE,,,,,,.003,.001,.0040000002,.0020000001,,.059,.039999999,.034000002
ARG,.0020000001,.0020000001,.0020000001,.0020000001,,.0049999999,.0049999999,.0040000002,.0040000002,,.0070000002,.0049999999,.0040000002
ARM,.003,.001,.0020000001,.0049999999,,.0049999999,.003,.003,.0040000002,,.0070000002,.0049999999,.0049999999
AUS,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0060000001,.0049999999
AUT,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0060000001,.0040000002
BDI,.001,.081,.011,.0049999999,,.028000001,.023,.0049999999,.0099999998,,.0070000002,.0070000002,.016000001
BEL,.001,.001,.001,.001,,.0040000002,.0020000001,.0040000002,.003,,.0060000001,.0049999999,.0040000002
BEN,.0040000002,.0020000001,.0080000004,.003,,.0080000004,.0040000002,.0060000001,.0049999999,,.0070000002,.0060000001,.0070000002
BFA,.003,.003,.012,.003,,.012,.0060000001,.0070000002,.0060000001,.011,.0070000002,.0060000001,.035
BGD,.0040000002,.0040000002,.011,.0089999996,,.0099999998,.0070000002,.0040000002,.0060000001,,.0070000002,.0049999999,.0049999999
BGR,.0020000001,.001,.057999998,.0020000001,,.0040000002,.003,.0020000001,.003,,.0070000002,.0049999999,.0040000002
BHR,.001,.001,.001,.001,,.0040000002,.0020000001,.0049999999,.003,,.0060000001,.0049999999,.003
BLZ,.0020000001,.0020000001,.003,.0020000001,,.0049999999,.0040000002,.0020000001,.0040000002,,.0070000002,.0060000001,.0040000002
BOL,.0040000002,.003,.003,.0070000002,,.0070000002,.0049999999,.0040000002,.0040000002,,.0070000002,.0040000002,.003
BRA,.0020000001,.0020000001,.0020000001,.0020000001,,.0049999999,.0049999999,.0049999999,.0040000002,,.0070000002,.0060000001,.0040000002
